id,A_p1,A_p3,B_p1,B_p3,payoff1,payoff2,payoff3
1,0,0.5,0.9,0.1,0,5,15
2,0,0.5,0.8,0.2,0,5,15
3,0,0.5,0.7,0.3,0,5,15
4,0,0.5,0.6,0.4,0,5,15
5,0,0.5,0.5,0.5,0,5,15
6,0,0.5,0.4,0.6,0,5,15
7,0,0.5,0.3,0.7,0,5,15
8,0,0.5,0.2,0.8,0,5,15
9,0,0.5,0.1,0.9,0,5,15
10,0,0.5,0,1,0,5,15
11,0,0,0.9,0.1,0,5,15
12,0,0,0.8,0.2,0,5,15
13,0,0,0.7,0.3,0,5,15
14,0,0,0.6,0.4,0,5,15
15,0,0,0.5,0.5,0,5,15
16,0,0,0.4,0.6,0,5,15
17,0,0,0.3,0.7,0,5,15
18,0,0,0.2,0.8,0,5,15
19,0,0,0.1,0.9,0,5,15
20,0,0,0,1,0,5,15
